RegionName,Date,HomePrice,State,UnemploymentRate,JobGrowthRate,PriceToRentRatio,PriceNorm,UnempNorm,JobGrowthNorm,AffordabilityNorm,DesirabilityScore,Bedrooms,PriceToIncomeRatio,Murder,Assault,Rape,SchoolRating,CrimeRateRaw,CrimeRate
California,2015-01-01,412386.4658248488,California,6.8,0.1453364110455712,20.61932329124244,0.348255008214095,0.1770833333333333,0.8043342628020913,0.348255008214095,0.7164971809652947,4,6.344407166536136,9.0,276,40.6,49.49931022590102,325.6,8.449878493317135
Texas,2015-01-01,158901.15021089022,Texas,4.5,0.1453364110455712,7.945057510544511,0.0647005912178473,0.0972222222222222,0.8043342628020913,0.0647005912178473,0.9026020533852652,1,2.444633080167542,12.7,201,25.5,49.501835443037976,239.2,6.087788578371811
Florida,2015-01-01,179690.40453250692,Florida,5.9,0.1453364110455712,8.984520226625346,0.0879559221023009,0.1458333333333333,0.8043342628020913,0.0879559221023009,0.878926632632371,1,2.764467762038568,15.4,335,31.9,49.50403225806452,382.29999999999995,10.0
New York,2015-01-01,235632.1492608524,New York,5.7,0.1453364110455712,11.78160746304262,0.1505336251687637,0.1388888888888889,0.8043342628020913,0.1505336251687637,0.8427688996813824,1,3.6251099886284974,11.1,254,26.1,49.50327475520394,291.20000000000005,7.509416767922238
Pennsylvania,2015-01-01,154221.64653640948,Pennsylvania,5.5,0.1453364110455712,7.711082326820474,0.0594659923889749,0.1319444444444444,0.8043342628020913,0.0594659923889749,0.8987983682381445,1,2.3726407159447613,6.3,106,14.9,49.50330988829127,127.2,3.0258201701093563
Illinois,2015-01-01,157986.79744934794,Illinois,6.1,0.1453364110455712,7.899339872467397,0.0636777755032563,0.1527777777777778,0.8043342628020913,0.0636777755032563,0.8921046317029091,5,2.430566114605353,10.4,249,24.0,49.50304468985448,283.4,7.296172539489672
Ohio,2015-01-01,117088.97199830126,Ohio,5.2,0.1453364110455712,5.854448599915063,0.0179285413746532,0.1215277777777778,0.8043342628020913,0.0179285413746532,0.9258041721800708,3,1.8013687999738657,7.3,120,21.4,49.48959687906372,148.7,3.613608748481166
Georgia,2015-01-01,147452.8886209023,Georgia,6.5,0.1453364110455712,7.372644431045114,0.051894306432052,0.1666666666666666,0.8043342628020913,0.051894306432052,0.8963969353678536,3,2.268505978783112,17.4,211,25.8,49.49271137026239,254.20000000000002,6.497873633049819
North Carolina,2015-01-01,157075.78341655913,North Carolina,5.7,0.1453364110455712,7.853789170827957,0.0626586945662909,0.1388888888888889,0.8043342628020913,0.0626586945662909,0.895493858042866,2,2.41655051410091,13.0,337,16.1,49.50032583903552,366.1,9.557108140947754
Michigan,2015-01-01,116884.6165236323,Michigan,6.0,0.1453364110455712,5.844230826181615,0.0176999447108212,0.1493055555555555,0.8043342628020913,0.0176999447108212,0.9203857746228143,2,1.798224869594343,12.1,255,35.1,49.49791615592057,302.20000000000005,7.810145808019444
New Jersey,2015-01-01,303210.32577908266,New Jersey,6.3,0.1453364110455712,15.160516288954131,0.226128104469801,0.1597222222222222,0.8043342628020913,0.226128104469801,0.7932455454340932,4,4.664774242755118,7.4,159,18.8,49.49500713266762,185.20000000000002,4.611482381530985
Virginia,2015-01-01,233924.0834911858,Virginia,4.7,0.1453364110455712,11.69620417455929,0.1486229441009631,0.1041666666666666,0.8043342628020913,0.1486229441009631,0.850859752766507,2,3.598832053710551,8.5,156,20.7,49.50488721804511,185.2,4.611482381530984
Washington,2015-01-01,266807.6736194733,Washington,5.6,0.1453364110455712,13.340383680973664,0.1854072730274181,0.1354166666666666,0.8043342628020913,0.1854072730274181,0.822539155410634,1,4.104733440299589,4.0,145,26.2,49.49151477058454,175.2,4.338092345078979
Arizona,2015-01-01,199144.02496252177,Arizona,6.4,0.1453364110455712,9.957201248126088,0.1097171826555548,0.1631944444444444,0.8043342628020913,0.1097171826555548,0.8623976540781966,2,3.0637542301926426,8.1,294,31.0,49.49593106749641,333.1,8.654921020656138
Massachusetts,2015-01-01,334368.8675202274,Massachusetts,5.2,0.1453364110455712,16.71844337601137,0.2609827551877893,0.1215277777777778,0.8043342628020913,0.2609827551877893,0.7799716438921892,4,5.1441364233881135,4.4,149,16.3,49.49809275245934,169.70000000000002,4.187727825030378
Tennessee,2015-01-01,142159.57751391086,Tennessee,6.1,0.1453364110455712,7.107978875695543,0.045973088702783,0.1527777777777778,0.8043342628020913,0.045973088702783,0.902727443783193,3,2.1870704232909364,13.2,188,26.9,49.4989085617269,228.1,5.784325637910086
Indiana,2015-01-01,117475.5519189274,Indiana,5.4,0.1453364110455712,5.87377759594637,0.0183609784322007,0.1284722222222222,0.8043342628020913,0.0183609784322007,0.9241558210566534,2,1.807316183368114,7.2,113,21.0,49.4880482228227,141.2,3.408566221142163
Maryland,2015-01-01,275394.296955276,Maryland,5.4,0.1453364110455712,13.7697148477638,0.1950124644289505,0.1284722222222222,0.8043342628020913,0.1950124644289505,0.8181649294586035,5,4.236835337773477,11.3,300,27.8,49.499744637385085,339.1,8.81895504252734
Missouri,2015-01-01,127568.15699258844,Missouri,5.6,0.1453364110455712,6.378407849629422,0.0296507951251474,0.1354166666666666,0.8043342628020913,0.0296507951251474,0.9159930421519964,5,1.962587030655207,9.0,178,28.2,49.496891651865006,215.2,5.431652490886999
Wisconsin,2015-01-01,156474.14219657553,Wisconsin,4.7,0.1453364110455712,7.823707109828776,0.0619856850668643,0.1041666666666666,0.8043342628020913,0.0619856850668642,0.9028421081869664,4,2.407294495331932,2.6,53,10.8,49.50033519553072,66.4,1.3636087484811668
Colorado,2015-01-01,275807.3454690843,Colorado,4.1,0.1453364110455712,13.790367273454214,0.1954745098545027,0.0833333333333333,0.8043342628020913,0.1954745098545026,0.82691547998105,4,4.243189930293604,7.9,204,38.7,49.498867497168746,250.60000000000002,6.399453219927097
Minnesota,2015-01-01,188976.3190169232,Minnesota,3.8,0.1453364110455712,9.44881595084616,0.0983433564257772,0.0729166666666666,0.8043342628020913,0.0983433564257773,0.8872775053716185,5,2.9073279848757414,2.7,72,14.9,49.50439453125,89.60000000000001,1.9978736330498184
South Carolina,2015-01-01,148712.09038820225,South Carolina,6.4,0.1453364110455712,7.435604519410113,0.0533028780573652,0.1631944444444444,0.8043342628020913,0.0533028780573652,0.8962462368371102,3,2.28787831366465,14.4,279,22.5,49.49043303121853,315.9,8.184690157958688
Alabama,2015-01-01,128603.57141588244,Alabama,6.2,0.1453364110455712,6.430178570794122,0.0308090331573408,0.15625,0.8043342628020913,0.0308090331573408,0.9111314326660138,2,1.9785164833212685,13.2,236,21.2,49.51805474665114,270.4,6.940765492102066
Louisiana,2015-01-01,158788.32508475022,Louisiana,6.7,0.1453364110455712,7.939416254237511,0.0645743824755868,0.1736111111111111,0.8043342628020913,0.0645743824755868,0.8874000008528439,5,2.442897308996157,15.4,249,22.2,49.48797450014489,286.59999999999997,7.383657351154314
Kentucky,2015-01-01,108688.10464730782,Kentucky,5.4,0.1453364110455712,5.434405232365391,0.0085311408262066,0.1284722222222222,0.8043342628020913,0.0085311408262066,0.93005372362025,1,1.6721246868816588,9.7,109,16.3,49.49878197320341,135.0,3.2390643985419203
Oregon,2015-01-01,249055.4931275717,Oregon,5.8,0.1453364110455712,12.452774656378583,0.1655492817366748,0.1423611111111111,0.8043342628020913,0.1655492817366748,0.8330650612961912,3,3.831622971193411,4.9,159,29.3,49.50342465753425,193.20000000000002,4.830194410692589
Oklahoma,2015-01-01,116028.20626109996,Oklahoma,4.0,0.1453364110455712,5.801410313054998,0.016741944788365,0.0798611111111111,0.8043342628020913,0.016741944788365,0.934849463465177,1,1.7850493270938457,6.6,151,20.0,49.51861882193636,177.6,4.403705953827461
Connecticut,2015-01-01,248569.4535804478,Connecticut,6.0,0.1453364110455712,12.42847267902239,0.1650055868875746,0.1493055555555555,0.8043342628020913,0.1650055868875746,0.8320023893167623,1,3.8241454396991967,3.3,110,11.1,49.503290747193184,124.39999999999999,2.949270959902795
Utah,2015-01-01,232520.00144929977,Utah,3.5,0.1453364110455712,11.626000072464988,0.1470523061180977,0.0625,0.8043342628020913,0.1470523061180977,0.8601354688895597,5,3.577230791527689,3.2,120,22.9,49.51036116044997,146.1,3.5425273390036454
Iowa,2015-01-01,127653.72981595488,Iowa,3.9,0.1453364110455712,6.382686490797744,0.0297465188240986,0.0763888888888888,0.8043342628020913,0.0297465188240986,0.9277411634881814,4,1.9639035356300751,2.2,56,11.3,49.5046332046332,69.5,1.4483596597812882
Nevada,2015-01-01,208063.6909948568,Nevada,7.4,0.1453364110455712,10.40318454974284,0.1196949231628267,0.1979166666666666,0.8043342628020913,0.1196949231628267,0.8494665653293889,1,3.200979861459335,12.2,252,46.0,49.501633986928105,310.2,8.028857837181047
Arkansas,2015-01-01,121265.59107860865,Arkansas,5.5,0.1453364110455712,6.063279553930433,0.0226006021031554,0.1319444444444444,0.8043342628020913,0.0226006021031554,0.9209176024096362,3,1.8656244781324407,8.8,190,19.5,49.51893408134642,218.3,5.516403402187121
Mississippi,2015-01-01,115545.30103623345,Mississippi,6.8,0.1453364110455712,5.777265051811672,0.016201756063153,0.1770833333333333,0.8043342628020913,0.016201756063153,0.9157291322558596,1,1.777620015942053,16.1,259,17.1,49.45858398889403,292.20000000000005,7.536755771567439
Kansas,2015-01-01,120599.21857795412,Kansas,4.3,0.1453364110455712,6.029960928897706,0.0218551827266216,0.0902777777777777,0.8043342628020913,0.0218551827266216,0.92969818736889,3,1.8553725935069865,6.0,115,18.0,,139.0,3.3484204131227226
New Mexico,2015-01-01,164502.80226757933,New Mexico,6.5,0.1453364110455712,8.225140113378966,0.0709667261192051,0.1666666666666666,0.8043342628020913,0.0709667261192051,0.8849534835555619,3,2.530812342578144,11.4,285,32.1,49.488259668508285,328.5,8.529161603888214
Nebraska,2015-01-01,135376.01443239304,Nebraska,2.9,0.1453364110455712,6.768800721619652,0.0383848413517355,0.0416666666666666,0.8043342628020913,0.0383848413517355,0.9295026144160436,1,2.082707914344508,4.3,102,16.5,49.5036855036855,122.8,2.9055285540704743
Idaho,2015-01-01,178162.83532553163,Idaho,3.9,0.1453364110455712,8.908141766276582,0.0862471485788477,0.0763888888888888,0.8043342628020913,0.0862471485788478,0.8938407856353319,4,2.740966697315871,2.6,120,14.2,49.49895833333333,136.79999999999998,3.2882746051032807
West Virginia,2015-01-01,101061.63581008725,West Virginia,6.4,0.1453364110455712,5.053081790504362,0.0,0.1631944444444444,0.8043342628020913,0.0,0.9282279636715294,3,1.5547943970782654,5.7,81,9.3,49.51793580868471,96.0,2.1728432563791014
Hawaii,2015-01-01,565349.0580167769,Hawaii,3.8,0.1453364110455712,28.267452900838848,0.5193624293527282,0.0729166666666666,0.8043342628020913,0.5193624293527282,0.634666061615448,2,8.697677815642722,5.3,46,20.2,49.51990632318501,71.5,1.5030376670716892
New Hampshire,2015-01-01,226102.01711359425,New Hampshire,3.8,0.1453364110455712,11.305100855679711,0.1398730034346494,0.0729166666666666,0.8043342628020913,0.1398730034346494,0.8623597171662952,2,3.478492570978373,2.1,57,9.5,49.499452354874045,68.6,1.4237545565006076
Maine,2015-01-01,176170.0078621502,Maine,4.9,0.1453364110455712,8.80850039310751,0.0840179266289112,0.1111111111111111,0.8043342628020913,0.0840179266289112,0.8882338743608493,2,2.7103078132638494,2.1,83,7.8,,92.89999999999999,2.0880923450789792
